Sl. No.,Crops,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
1,Paddy,9705105,12459354,13112458,12679650,12497077,12487807
2,Jowar,5969,7735,41507,41362,18187,40422
3,Bajra,231,0,44166,5010,48536,370000
4,Maize,3880,8,55675,6641,43,59680
5,Ragi,27201,93026,231211,308696,310519,466198
6,Arhar (Tur),281849,567327,7690,24084,0,0
7,Moong,277105,105864,84732,195338,169442,30123
8,Urad,408804,99,1378,2585,27,0
9,Groundnut,335641,347446,152726,76647,3668,26787
10,Sunflower Seed,2084,3101,2713,1200,5370,11483
11,Soyabean,11364,4550,3,0,0,4086
12,Sesamum,0,0,0,0,0,0
13,Nigerseed,17,0,0,0,0,0
14,Cotton,238259,2149977,1914020,200,0,724640
15,Wheat,4033463,3557084,4335972,4919891,1783192,2128985
16,Barley,0,0,0,0,0,0
17,Gram,356430,1108514,402694,1168730,1029390,15409
18,Masur ( Lentil),45700,1898,39,0,44799,116907
19,Rapeseed/ Mustard,496122,318477,4,0,453897,521435
20,Safflower,0,0,0,0,1292,0
21,Copra,0,935,3961,115,19413,91031
22,Jute,26211,29685,1435,836,84968,170143
Total,Total,16255435,20755080,20392384,19430985,16469820,17265136
